SBSP 111936Z 19007KT 110V270 7000 -RA FEW015 FEW037TCU OVC040 21/17 Q1017 RERA,SBSP,2020-12-11T19:36:00Z,-23.62,-46.65,21.0,17.0,190,7,,4.35,30.029528,,,,,,,,,,-RA,FEW,1500,FEW,3700,OVC,4000,,,MVFR,,,,,,,,,,,,SPECI,802.0
SASJ 111936Z 09012KT 9000 -TSRA SCT040TCU FEW050CB 39/12 Q1005,SASJ,2020-12-11T19:36:00Z,-24.38,-65.1,39.0,12.0,90,12,,5.59,29.675198,,,,,,,,,,-TSRA,SCT,4000,FEW,5000,,,,,VFR,,,,,,,,,,,,SPECI,913.0
KOGD 111936Z 22008KT 10SM BKN019 OVC046 01/M07 A3001 RMK AO2 T00061067,KOGD,2020-12-11T19:36:00Z,41.2,-112.02,0.6,-6.7,220,8,,10.0,30.008858,,,,TRUE,,,,,,,BKN,1900,OVC,4600,,,,,MVFR,,,,,,,,,,,,SPECI,1356.0
KMWT 111936Z AUTO 00000KT 3SM RA BR SCT029 BKN040 OVC080 14/13 A2981 RMK AO2 P0016 T01440133,KMWT,2020-12-11T19:36:00Z,34.55,-93.58,14.4,13.3,0,0,,3.0,29.811024,,,TRUE,TRUE,,,,,,RA BR,SCT,2900,BKN,4000,OVC,8000,,,MVFR,,,,,,0.16,,,,,,SPECI,220.0
KCQM 111936Z AUTO 00000KT 10SM OVC015 M03/M06 A3015 RMK AO2,KCQM,2020-12-11T19:36:00Z,47.82,-92.68,-3.0,-6.0,0,0,,10.0,30.15059,,,TRUE,TRUE,,,,,,,OVC,1500,,,,,,,MVFR,,,,,,,,,,,,SPECI,406.0
KBZN 111936Z 31003KT 1 3/4SM -SN BR OVC026 M06/M08 A2993 RMK AO2 P0000 T10561078,KBZN,2020-12-11T19:36:00Z,45.78,-111.17,-5.6,-7.8,310,3,,1.75,29.929134,,,,TRUE,,,,,,-SN BR,OVC,2600,,,,,,,IFR,,,,,,0.005,,,,,,SPECI,1349.0
KATY 111936Z AUTO 05011KT 10SM SCT009 M02/M04 A3006 RMK AO2 T10171044,KATY,2020-12-11T19:36:00Z,44.9,-97.15,-1.7,-4.4,50,11,,10.0,30.059055,,,TRUE,TRUE,,,,,,,SCT,900,,,,,,,VFR,,,,,,,,,,,,SPECI,531.0
KAMN 111936Z AUTO 03007KT 10SM OVC019 06/02 A2999 RMK AO2 T00600023,KAMN,2020-12-11T19:36:00Z,43.32,-84.68,6.0,2.3,30,7,,10.0,29.991142,,,TRUE,TRUE,,,,,,,OVC,1900,,,,,,,MVFR,,,,,,,,,,,,SPECI,228.0
KAKO 111936Z AUTO 35011KT 8SM -SN BKN009 BKN021 OVC035 M04/M06 A2989 RMK AO2 P0000 T10391056,KAKO,2020-12-11T19:36:00Z,40.17,-103.22,-3.9,-5.6,350,11,,8.0,29.890747,,,TRUE,TRUE,,,,,,-SN,BKN,900,BKN,2100,OVC,3500,,,IFR,,,,,,0.005,,,,,,SPECI,1431.0
KADC 111936Z AUTO 07007KT 10SM OVC005 M03/M04 A3012 RMK AO2,KADC,2020-12-11T19:36:00Z,46.45,-95.22,-3.0,-4.0,70,7,,10.0,30.121063,,,TRUE,TRUE,,,,,,,OVC,500,,,,,,,IFR,,,,,,,,,,,,SPECI,416.0
CYLW 111936Z AUTO 34005KT 2 1/4SM -SN SCT013 OVC026 01/01 A3003 RMK SLP194,CYLW,2020-12-11T19:36:00Z,49.95,-119.37,1.0,1.0,340,5,,2.25,30.029528,1019.4,,TRUE,,,,,,,-SN,SCT,1300,OVC,2600,,,,,IFR,,,,,,,,,,,,SPECI,420.0
CYGW 111936Z AUTO 30015G21KT 7SM -SN OVC027 M07/M09 A3007 RMK SLP183,CYGW,2020-12-11T19:36:00Z,55.27,-77.77,-7.0,-9.0,300,15,21,7.0,30.070866,1018.3,,TRUE,,,,,,,-SN,OVC,2700,,,,,,,MVFR,,,,,,,,,,,,SPECI,13.0
CYFR 111936Z 09008KT 15SM OVC012 M15/M17 A3024 RMK SC8 SLP259,CYFR,2020-12-11T19:36:00Z,61.17,-113.68,-15.0,-17.0,90,8,,15.0,30.239174,1025.9,,,,,,,,,,OVC,1200,,,,,,,MVFR,,,,,,,,,,,,SPECI,159.0
YPTN 111935Z AUTO 05005KT 9999 VCTS NCD 26/22 Q1009 RETS RF00/0////// VCTS-NE,YPTN,2020-12-11T19:35:00Z,-14.52,132.38,26.0,22.0,50,5,,6.21,29.793306,,,TRUE,,,,,,,VCTS VCTS,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,135.0
PAUT 111935Z AUTO 08026G32KT 10SM OVC012 03/02 A2921 RMK AO2 P0001 T00340020 PWINO,PAUT,2020-12-11T19:35:00Z,54.13,-165.6,3.4,2.0,80,26,32,10.0,29.208662,,,TRUE,TRUE,,,,,TRUE,,OVC,1200,,,,,,,MVFR,,,,,,0.01,,,,,,SPECI,25.0
PAKX 111935Z AUTO 00000KT 10SM CLR M12/M13 A2989 RMK AO2,PAKX,2020-12-11T19:35:00Z,,,-12.0,-13.0,0,0,,10.0,29.890747,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,
PAGS 111935Z AUTO 32004KT 3SM -RA BR BKN008 OVC013 01/00 A3011 RMK AO2 UPE06RAB06 CIG 008V012 P0001 FZRANO,PAGS,2020-12-11T19:35:00Z,58.42,-135.7,1.0,0.0,320,4,,3.0,30.109253,,,TRUE,TRUE,,,,TRUE,,-RA BR,BKN,800,OVC,1300,,,,,IFR,,,,,,0.01,,,,,,METAR,9.0
PAAD 111935Z AUTO 24007KT 3/4SM BR OVC010 M21/M23 A3054 RMK AO2 T12101231,PAAD,2020-12-11T19:35:00Z,70.13,-146.28,-21.0,-23.1,240,7,,0.75,30.540354,,,TRUE,TRUE,,,,,,BR,OVC,1000,,,,,,,LIFR,,,,,,,,,,,,SPECI,8.0
KZPH 111935Z AUTO 16005KT 10SM CLR 22/09 A3013 RMK A02 T02160086,KZPH,2020-12-11T19:35:00Z,28.23,-82.15,21.6,8.6,160,5,,10.0,30.129921,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,26.0
KY63 111935Z AUTO 05006KT 10SM OVC004 M03/M04 A3013 RMK AO2 T10311037,KY63,2020-12-11T19:35:00Z,45.98,-96.0,-3.1,-3.7,50,6,,10.0,30.129921,,,TRUE,TRUE,,,,,,,OVC,400,,,,,,,LIFR,,,,,,,,,,,,SPECI,367.0
KY51 111935Z AUTO 05010G18KT 10SM SCT100 02/M01 A2998 RMK AO1 T00201010,KY51,2020-12-11T19:35:00Z,43.58,-90.9,2.0,-1.0,50,10,18,10.0,29.97933,,,TRUE,TRUE,,,,,,,SCT,10000,,,,,,,VFR,,,,,,,,,,,,METAR,390.0
KY49 111935Z AUTO 06003KT 10SM OVC004 M04/M05 A3014 RMK AO2 T10381049,KY49,2020-12-11T19:35:00Z,47.15,-94.65,-3.8,-4.9,60,3,,10.0,30.138779,,,TRUE,TRUE,,,,,,,OVC,400,,,,,,,LIFR,,,,,,,,,,,,SPECI,413.0
KY31 111935Z AUTO 01006KT 10SM OVC020 05/00 A3001 RMK AO2 T00480000,KY31,2020-12-11T19:35:00Z,44.25,-84.18,4.8,0.0,10,6,,10.0,30.008858,,,TRUE,TRUE,,,,,,,OVC,2000,,,,,,,MVFR,,,,,,,,,,,,METAR,264.0
KY23 111935Z AUTO 01006KT 10SM SCT025 02/M03 A3009 RMK AO2 T00201033,KY23,2020-12-11T19:35:00Z,45.3,-91.63,2.0,-3.3,10,6,,10.0,30.088583,,,TRUE,TRUE,,,,,,,SCT,2500,,,,,,,VFR,,,,,,,,,,,,SPECI,322.0
KY19 111935Z AUTO 00000KT M1/4SM FZFG OVC002 M07/M07 A3014 RMK AO2,KY19,2020-12-11T19:35:00Z,46.77,-100.9,-7.0,-7.0,0,0,,0.25,30.138779,,,TRUE,TRUE,,,,,,FZFG,OVC,200,,,,,,,LIFR,,,,,,,,,,,,METAR,591.0
KXSA 111935Z AUTO 19010G14KT 10SM CLR 17/08 A3014 RMK AO2 T01700081,KXSA,2020-12-11T19:35:00Z,37.87,-76.9,17.0,8.1,190,10,14,10.0,30.138779,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,41.0
KXNX 111935Z AUTO VRB06G11KT 10SM CLR 18/08 A3003 RMK A01,KXNX,2020-12-11T19:35:00Z,36.38,-86.42,18.0,8.0,0,6,11,10.0,30.029528,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,178.0
KXLL 111935Z AUTO 21008KT 10SM CLR 12/05 A3011 RMK AO2,KXLL,2020-12-11T19:35:00Z,40.57,-75.48,12.0,5.0,210,8,,10.0,30.109253,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,118.0
KXER 111935Z AUTO 18013KT 10SM FEW029 FEW065 23/16 A3001 RMK A01,KXER,2020-12-11T19:35:00Z,,,23.0,16.0,180,13,,10.0,30.008858,,,TRUE,TRUE,,,,,,,FEW,2900,FEW,6500,,,,,VFR,,,,,,,,,,,,METAR,
KXBP 111935Z AUTO 32008KT 10SM SCT028 SCT037 SCT047 14/09 A2986 RMK AO2 T01440090,KXBP,2020-12-11T19:35:00Z,33.18,-97.83,14.4,9.0,320,8,,10.0,29.861221,,,TRUE,TRUE,,,,,,,SCT,2800,SCT,3700,SCT,4700,,,VFR,,,,,,,,,,,,METAR,256.0
KX60 111935Z AUTO 00000KT 10SM CLR 21/08 A3013 RMK AO2 T02140077,KX60,2020-12-11T19:35:00Z,29.35,-82.47,21.4,7.7,0,0,,10.0,30.129921,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,21.0
KX26 111935Z AUTO 03009KT 10SM CLR 22/13 A3012 RMK AO2 T02170133,KX26,2020-12-11T19:35:00Z,27.82,-80.5,21.7,13.3,30,9,,10.0,30.121063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,5.0
KWWR 111935Z AUTO 30008G15KT 10SM OVC026 05/M01 A2989 RMK AO2,KWWR,2020-12-11T19:35:00Z,36.45,-99.52,5.0,-1.0,300,8,15,10.0,29.890747,,,TRUE,TRUE,,,,,,,OVC,2600,,,,,,,MVFR,,,,,,,,,,,,METAR,664.0
KWDR 111935Z AUTO 00000KT 10SM CLR 17/03 A3014 RMK AO2,KWDR,2020-12-11T19:35:00Z,33.98,-83.67,17.0,3.0,0,0,,10.0,30.138779,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,280.0
KW99 111935Z AUTO 00000KT 10SM CLR 21/03 A3003 RMK AO2 T02060031,KW99,2020-12-11T19:35:00Z,39.0,-79.15,20.6,3.1,0,0,,10.0,30.029528,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,288.0
KW96 111935Z AUTO 21006KT 10SM CLR 17/08 A3013 RMK AO1 T01700075,KW96,2020-12-11T19:35:00Z,37.5,-77.12,17.0,7.5,210,6,,10.0,30.129921,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,35.0
KW81 111935Z AUTO 24006KT 10SM CLR A3013 RMK AO1,KW81,2020-12-11T19:35:00Z,37.18,-78.1,,,240,6,,10.0,30.129921,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,121.0
KW78 111935Z AUTO 22005KT 10SM CLR 18/06 A3014 RMK AO1 T01790057,KW78,2020-12-11T19:35:00Z,36.7,-78.85,17.9,5.7,220,5,,10.0,30.138779,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,120.0
KW43 111935Z AUTO 10SM SCT090 BKN120 00/M05 A2997 RMK AO2,KW43,2020-12-11T19:35:00Z,44.67,-104.57,0.0,-5.0,,,,10.0,29.970472,,,TRUE,TRUE,,,,,,,SCT,9000,BKN,12000,,,,,VFR,,,,,,,,,,,,SPECI,1292.0
KW29 111935Z AUTO 18009KT 10SM CLR 13/05 A3012 RMK AO2,KW29,2020-12-11T19:35:00Z,38.98,-76.33,13.0,5.0,180,9,,10.0,30.121063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1.0
KW22 111935Z AUTO 23008KT 10SM CLR 17/01 A3005 RMK AO2,KW22,2020-12-11T19:35:00Z,39.0,-80.27,17.0,1.0,230,8,,10.0,30.050198,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,497.0
